Variable Information
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|RACE_OTHER          |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|RACE_3G             |1      |Black                                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |White                                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Multi/Other                                                                                                   |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|VISIT_FREQ          |1      |Almost every day (5-7 x/week)                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |A few days per week (2-4 x/week)                                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |About once a week                                                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Occasionally (1-3x per month)                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Seldom (less than once a month)                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |Rarely (a few times a year or less)                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|REGULAR_SODA        |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|REGULAR_SODA_ANY    |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|REGULAR_SODA_2CANS  |1      |< 2 cans                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|DIET_SODA           |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|DIET_SODA_ANY       |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|DIET_SODA_2CANS     |1      |< 2 cans                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SPORTS_DRINK        |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SPORTS_DRINK_ANY    |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SPORTS_DRINK_2CANS  |1      |< 2 cans                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|FRUIT_JUICE         |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|FRUIT_JUICE_ANY     |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|FRUIT_JUICE_2CANS   |1      |< 2 cans                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SWEET_DRINK         |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SWEET_DRINK_ANY     |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SWEET_DRINK_2CANS   |1      |< 2 cans                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SSB_CONSUMPTION_ANY |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SSB_CONSUMPTION_2CUP|1      |None to 1cup                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2+                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SSB_CONSUMPTION_3CUP|1      |None to 2cup                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |3+                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SSB_CONSUMPTION_4CUP|1      |None to 3cup                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |4+                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|HEAVY_SSB           |0      |No                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Yes                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|TAP_WATER           |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |A few sips                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |1 cup                                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |2 cups                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |3 cups                                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|TAP_WATER_ANY       |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|TAP_WATER_2CUPS     |1      |< 2 cups                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|BOTTLED_WATER       |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Less than 1 bottle                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |1 bottle                                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |2 bottles                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |3 bottles                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |4 +                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|BOTTLED_WATER_ANY   |1      |None                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Some                                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|BOTTLED_WATER_2     |1      |< 2 bottle                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |2 or more                                                                                                     |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|HOW_OFTEN           |1      |Every day                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |A few times a week                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Once a week                                                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Twice a month                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Once a month                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |Less than once a month                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Never                                                                                                         |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_HOME          |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_SCHOOL        |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_RESTAURANT    |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_STORE         |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_OTHER         |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_NO            |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|WHERE_NOT_HOME      |1      |I did not drink soda                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Only at home                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Got away from home                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LARGE_PORTION       |1      |Not at all Important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat Important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very Important                                                                                                |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LOW_PRICE           |1      |Not at all Important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat Important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very Important                                                                                                |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LOW_CALORIE         |1      |Not at all Important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat Important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very Important                                                                                                |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|HEALTH_TAP_WATER    |1      |Bad for health                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Neither                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Good for health                                                                                               |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|HEALTH_BOTTLED_WATER|1      |Bad for health                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Neither                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Good for health                                                                                               |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|BCI                 |1      |Yes                                                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |No                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|MIXIFY_INTERNET     |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|MIXIFY_STORE        |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|MIXIFY_BILLBOARD    |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|MIXIFY_BUS          |0      |Not selected                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Selected                                                                                                      |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|STATE               |1      |AL                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |MI                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LOCATION_FOUR       |1      |Birmingham                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |S.Delta                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Montgomery                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |N.Delta                                                                                                       |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LOCATION            |1      |Birmingham/S.Delta                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Montgomery/N.Delta                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|LOCATION_TEN        |1      |CO                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |HU                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |JE                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |LE                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |MO                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |PA                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |QU                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |8      |SH                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |9      |TU                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |10     |YA                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|BMI_4CAT            |1      |Underweight                                                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Normal/healthy                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Overweight                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Obese                                                                                                         |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SUGAR_BEV_4_EVERYDAY|0      |No                                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1      |Yes                                                                                                           |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|SEX                 |1      |Male                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Female                                                                                                        |
